timestamp;e1Detector_E12_0_0;e1Detector_E12_1_1;e1Detector_E32_1_2;e1Detector_E32_0_3;e1Detector_E23_0_4;e1Detector_E23_1_5;e1Detector_E43_1_6;e1Detector_E43_0_7;e1Detector_E34_0_8;e1Detector_E34_1_9;e1Detector_E54_1_10;e1Detector_E54_0_11;e1Detector_E45_0_12;e1Detector_E45_1_13;e1Detector_E65_1_14;e1Detector_E65_0_15;e1Detector_E56_0_16;e1Detector_E56_1_17;e1Detector_E76_1_18;e1Detector_E76_0_19;e1Detector_E67_0_20;e1Detector_E67_1_21;e1Detector_E87_1_22;e1Detector_E87_0_23;e1Detector_E78_0_24;e1Detector_E78_1_25;e1Detector_E98_1_26;e1Detector_E98_0_27;e1Detector_E89_0_28;e1Detector_E89_1_29;e1Detector_E09_1_30;e1Detector_E09_0_31;out_e1Detector_E21_0_0;out_e1Detector_E21_1_1;out_e1Detector_E32_1_2;out_e1Detector_E32_0_3;out_e1Detector_E23_0_4;out_e1Detector_E23_1_5;out_e1Detector_E43_1_6;out_e1Detector_E43_0_7;out_e1Detector_E34_0_8;out_e1Detector_E34_1_9;out_e1Detector_E54_1_10;out_e1Detector_E54_0_11;out_e1Detector_E45_0_12;out_e1Detector_E45_1_13;out_e1Detector_E65_1_14;out_e1Detector_E65_0_15;out_e1Detector_E56_0_16;out_e1Detector_E56_1_17;out_e1Detector_E76_1_18;out_e1Detector_E76_0_19;out_e1Detector_E67_0_20;out_e1Detector_E67_1_21;out_e1Detector_E87_1_22;out_e1Detector_E87_0_23;out_e1Detector_E78_0_24;out_e1Detector_E78_1_25;out_e1Detector_E98_1_26;out_e1Detector_E98_0_27;out_e1Detector_E89_0_28;out_e1Detector_E89_1_29;out_e1Detector_E90_1_30;out_e1Detector_E90_0_31;Intersection_2;Intersection_3;Intersection_4;Intersection_5;Intersection_6;Intersection_7;Intersection_8;Intersection_9;E12;E32;E23;E43;E34;E54;E45;E65;E56;E76;E67;E87;E78;E98;E89;E09;out_E21;out_E23;out_E32;out_E34;out_E43;out_E45;out_E54;out_E56;out_E65;out_E67;out_E76;out_E78;out_E87;out_E89;out_E98;out_E90;I2;I3;I4;I5;I6;I7;I8;I9
10;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();();2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
